Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
,,00234.412800,D3_42,6,0.19384
,,00234.304240,D4_21,11,0.26736
,,00235.103840,A5_24,6,0.19864
,,00239.316480,B1_14,6,0.06496
,,00239.331600,B6_23,6,0.1836
,,00239.499360,D3_42,5,0.30088
,,00240.009280,B3_22,9,0.2564
,,00240.708400,B6_13,5,0.04496
,,00240.558160,B6_23,16,0.31064
,,00240.666000,B6_21,7,0.23912
,,00241.003920,A5_13,5,0.188
,,00241.120960,B5_22,6,0.24272
,,00240.990320,B6_23,15,0.6364
,,00242.194560,B6_21,5,0.24312
,,00242.589840,B6_13,5,0.12552
,,00242.181600,B6_23,20,0.59672
,,00243.715840,B5_12,9,0.13592
,,00243.753840,B5_23,5,0.09576
,,00243.657520,B5_22,7,0.19264
,,00244.021520,B6_21,8,0.13568
,,00245.755600,B3_22,6,0.1132
,,00245.487520,A3_34,5,0.2032
,,00245.990800,A5_13,11,0.41472
,,00246.454880,A5_24,7,0.20784
,,00246.911600,B5_14,5,0.21656
,,00246.939600,B5_23,8,0.18368
,,00247.060240,B1_14,7,0.18992
,,00246.934160,B5_22,13,0.2752
,,00247.445840,B3_22,6,0.03512
,,00246.746800,B5_12,54,0.75984
,,00246.904800,B5_44,47,0.61632
,,00247.277920,B6_21,7,0.17136
,,00247.434720,B5_24,6,0.24752
,,00247.602880,B3_22,27,0.45552
,,00247.361200,B3_42,25,0.57792
,,00248.255040,B2_31,8,0.0988
,,00248.227600,B3_44,6,0.14424
,,00248.015200,B5_22,5,0.17264
,,00248.138160,B2_32,11,0.45888
,,00248.408800,D3_42,5,0.19368
,,00248.592080,B5_12,12,0.12416
,,00248.601040,B5_23,6,0.2284
,,00248.501600,B5_22,8,0.32808
,,00248.934320,B3_32,7,0.14064
,,00248.775120,B3_42,5,0.14352
,,00248.783520,D4_21,7,0.14208
,,00248.809760,B3_22,38,0.458
,,00249.349440,A5_13,5,0.21944
,,00249.402960,B6_21,8,0.16992
,,00249.612320,B5_22,6,0.26232
,,00249.777040,A5_13,8,0.22352
,,00249.557040,B5_12,21,0.4704
,,00249.603520,B5_23,7,0.3344
,,00249.717440,B3_22,17,0.4836
,,00249.929680,A5_24,9,0.26064
,,00250.306880,B3_22,21,0.84392
,,00251.256640,B3_22,5,0.25408
,,00251.763680,A2_21,9,0.12824
,,00251.663680,B3_22,5,0.16936
,,00251.571120,A2_44,17,0.37808
,,00251.752320,A2_42,6,0.18048
,,00252.455280,A2_44,7,0.26656
,,00253.021360,B3_22,8,0.26432
,,00252.930320,A2_44,13,0.50976
,,00253.464400,C3_12,7,0.1456
,,00253.551520,C3_22,6,0.08008
,,00253.564640,C3_14,12,0.08384
,,00253.494960,C3_43,14,0.13304
,,00253.393200,A3_34,11,0.2444
,,00253.499200,C3_24,25,0.19272
,,00254.075600,A2_44,5,0.24352
,,00254.151920,D3_41,13,0.3572
,,00254.278800,D3_12,7,0.15624
,,00254.081600,D3_32,13,0.34128
,,00254.014240,D3_42,22,0.70632
,,00255.321120,D3_42,12,0.424
,,00256.142960,D3_42,6,0.29168
,,00256.418880,C3_22,9,0.15768
,,00256.746160,A2_44,5,0.178
,,00257.424240,A2_44,5,0.2192
,,00257.742560,B6_23,7,0.37728
,,00257.673920,B6_21,12,0.38568
,,00258.658880,B3_22,7,0.07168
,,00261.208560,A3_34,5,0.12064
,,00261.264480,B5_23,6,0.10936
,,00261.240400,B5_22,8,0.158
,,00261.474240,C3_43,6,0.09824
,,00261.239040,B5_12,11,0.18152
,,00261.852000,C3_24,6,0.09912
,,00262.134160,D3_42,5,0.20648
,,00262.640240,A2_44,9,0.34224
,,00263.062880,A5_13,5,0.12936
,,00263.496480,D3_32,6,0.15264
,,00263.294320,A5_13,6,0.13168
,,00263.476000,A5_24,8,0.20864
,,00263.786800,A2_44,8,0.24688
,,00263.530960,D3_42,18,0.39424
,,00264.829440,A2_44,11,0.20096
,,00265.132560,D3_42,13,0.38256
,,00265.878880,A2_44,8,0.24016
,,00266.263520,B6_23,5,0.12128
,,00266.496160,B6_23,5,0.32392
,,00266.324320,B6_21,12,0.33528
,,00266.810880,D1_42,7,0.11856
,,00266.655680,D3_42,9,0.33328
,,00267.014400,C3_24,5,0.04392
,,00266.825680,A3_34,12,0.414
,,00267.177760,A2_44,10,0.39128
,,00267.227280,C3_22,10,0.22496
,,00268.315440,A2_44,9,0.30856
,,00268.240800,D3_42,8,0.28224
