Investigator,Alberto,Time (s),Electrode,Size (spikes),Duration (s)
,,00356.651440,B3_32,39,0.2268
,,00356.813120,B3_43,11,0.08328
,,00356.674560,B3_44,10,0.19528
,,00356.809360,B3_42,12,0.05168
,,00356.772160,B6_12,17,0.11472
,,00356.665760,B3_41,30,0.24656
,,00356.647120,B3_12,24,0.31216
,,00356.725680,B3_22,12,0.18152
,,00356.791840,B3_23,30,0.1732
,,00356.777840,B3_34,32,0.232
,,00356.807440,B6_14,12,0.10816
,,00356.803520,B6_13,19,0.14744
,,00356.773600,B6_11,11,0.12736
,,00356.719920,B6_33,20,0.21384
,,00356.793280,B6_23,23,0.17928
,,00356.720080,B6_34,13,0.22128
,,00356.682080,B6_24,23,0.23888
,,00356.712960,B6_42,37,0.22368
,,00356.644560,B6_43,44,0.37496
,,00356.771280,B6_32,19,0.17296
,,00356.683680,B6_44,37,0.25968
,,00356.626880,B6_21,41,0.3156
,,00356.649200,B6_31,46,0.3864
,,00356.794640,B6_22,27,0.21056
,,00357.064400,C3_41,40,0.21856
,,00357.038640,C3_21,48,0.22368
,,00357.096160,C3_11,7,0.16632
,,00357.030080,C3_12,17,0.21872
,,00357.024960,C3_23,23,0.27656
,,00357.075680,C3_14,22,0.18992
,,00357.029360,C3_34,42,0.27088
,,00357.056720,C3_32,18,0.1836
,,00357.018960,C3_42,60,0.35008
,,00356.684320,B6_41,73,0.60832
,,00357.036080,C3_22,21,0.3768
,,00357.676960,C4_12,14,0.17616
,,00357.711200,C4_24,6,0.1868
,,00357.738080,C4_41,7,0.12912
,,00357.694160,C4_11,17,0.29568
,,00357.686160,C4_44,10,0.28064
,,00357.693760,C4_22,6,0.22112
,,00358.736240,C4_12,5,0.13336
,,00358.796880,C4_11,5,0.1164
,,00358.907520,B6_31,6,0.27808
,,00359.550080,B1_33,9,0.04792
,,00359.166880,C3_22,6,0.2908
,,00359.426240,B1_41,43,0.30768
,,00359.460640,B1_21,39,0.32088
,,00359.454000,B1_31,19,0.2836
,,00359.565600,B1_12,10,0.12392
,,00359.535520,B1_13,19,0.1548
,,00359.430000,B1_22,25,0.25048
,,00359.501760,B1_23,26,0.29728
,,00359.433520,B1_14,11,0.26712
,,00359.498080,B1_24,30,0.16896
,,00359.470800,B1_34,27,0.2308
,,00359.500160,B1_32,40,0.27424
,,00359.451120,B1_43,47,0.24096
,,00359.411200,B1_44,51,0.35712
,,00359.414400,B1_42,28,0.2844
,,00359.338880,C3_21,10,0.3684
,,00360.972160,A4_14,10,0.08632
,,00360.939840,A4_12,10,0.11648
,,00360.871360,A4_11,31,0.19064
,,00360.937840,A4_33,11,0.16848
,,00360.882960,A4_23,26,0.18712
,,00360.861600,A4_42,23,0.21664
,,00360.813680,A4_43,28,0.21552
,,00360.892400,A4_32,10,0.15336
,,00360.879520,A4_44,13,0.17712
,,00360.830400,A4_21,17,0.23
,,00360.901200,A4_41,23,0.15616
,,00360.821120,A4_31,14,0.23768
,,00361.041440,B3_32,22,0.26984
,,00361.126080,C4_12,7,0.1044
,,00361.134800,C4_11,13,0.23184
,,00361.131360,C4_44,7,0.15152
,,00361.127440,C4_21,6,0.24712
,,00361.354240,A3_41,17,0.234
,,00361.401280,A3_31,18,0.1876
,,00361.422160,A3_11,31,0.18248
,,00361.464400,A3_12,10,0.10464
,,00361.509600,A3_22,8,0.0816
,,00361.450240,A3_23,17,0.14352
,,00361.476320,A3_24,9,0.12552
,,00361.452160,A3_34,21,0.13384
,,00361.455040,A3_44,8,0.12864
,,00361.346000,A3_43,27,0.28832
,,00361.472400,A3_42,19,0.1144
,,00361.416080,A3_13,19,0.26232
,,00361.337680,A3_32,35,0.32896
,,00361.613840,B4_14,29,0.2048
,,00361.691680,B4_12,5,0.03
,,00361.685200,B4_13,17,0.11808
,,00361.661280,B4_33,17,0.12264
,,00361.590080,B4_23,35,0.23352
,,00361.696000,B4_34,5,0.02152
,,00361.634320,B4_24,34,0.20944
,,00361.675920,B4_42,14,0.10544
,,00361.654800,B4_43,17,0.09344
,,00361.553920,B4_32,39,0.27816
,,00361.621760,B4_44,37,0.20832
,,00361.438240,B4_21,27,0.356
,,00361.547680,B4_41,52,0.28176
,,00361.606560,B4_31,17,0.218
,,00361.599680,B4_22,53,0.29488
,,00361.716720,D5_14,12,0.14768
,,00361.709760,D5_12,6,0.11896
,,00361.652080,D5_13,31,0.19264
,,00361.725840,D5_23,8,0.11672
,,00361.714480,D5_34,14,0.12008
,,00361.649360,D5_24,48,0.2172
,,00361.670160,D5_42,44,0.22168
,,00361.646960,D5_43,33,0.22784
,,00361.714800,D5_32,8,0.14376
,,00361.753920,D5_41,6,0.08968
,,00362.046160,C3_21,7,0.05736
,,00361.362560,B4_11,46,0.5704
,,00361.659280,D5_33,46,0.4208
,,00361.683840,D5_44,33,0.2356
,,00361.703440,D5_22,39,0.4008
,,00362.074320,C3_14,6,0.25288
,,00362.044080,C3_34,7,0.16328
,,00361.941440,C3_42,19,0.29696
,,00362.424160,C4_12,7,0.14216
,,00362.525760,D6_31,7,0.06696
,,00362.465680,C4_11,16,0.27024
,,00362.430000,C4_44,6,0.22408
,,00362.710080,D5_42,7,0.1784
,,00362.544560,D6_14,14,0.18496
,,00362.454400,D6_12,48,0.31992
,,00362.516320,D6_33,36,0.21224
,,00362.535200,D6_24,28,0.20272
,,00362.450080,D6_43,73,0.43136
,,00362.450800,D6_41,19,0.26672
,,00362.481680,D6_22,51,0.33976
,,00362.505120,D6_23,46,0.50384
,,00362.454960,D6_21,63,0.54792
,,00363.046160,D5_42,9,0.25432
,,00363.194400,B6_41,7,0.15592
,,00362.804880,C3_14,12,0.7412
,,00363.182880,D5_43,6,0.27232
,,00363.685360,D2_31,26,0.15688
,,00363.624240,D2_11,22,0.21192
,,00363.619840,D2_12,18,0.18376
,,00363.636800,D2_22,27,0.20752
,,00363.667360,D2_23,28,0.18496
,,00363.670560,D2_14,18,0.1408
,,00363.741120,D2_33,7,0.07808
,,00363.631920,D2_24,17,0.15464
,,00363.724560,D2_34,10,0.07272
,,00363.656800,D2_44,33,0.21512
,,00363.671840,D2_42,39,0.19048
,,00363.402000,B4_11,8,0.31672
,,00363.625840,D2_41,11,0.29464
,,00363.643840,D2_43,52,0.28984
,,00363.848080,D6_12,24,0.46536
,,00364.201520,D6_43,5,0.22072
,,00364.678640,D1_31,34,0.21368
,,00364.724080,D1_22,23,0.17152
,,00364.512800,D1_14,26,0.38488
,,00364.740080,D1_33,14,0.15672
,,00364.748320,D1_24,12,0.12792
,,00364.557760,C4_12,13,0.16984
,,00364.649440,C4_13,5,0.12144
,,00364.565920,C4_11,14,0.1728
,,00364.579760,C4_24,9,0.23696
,,00364.569840,C4_44,8,0.2812
,,00364.565840,C4_21,8,0.14672
,,00364.569520,C4_41,11,0.168
,,00364.549680,D1_41,62,0.4744
,,00364.630080,D1_21,60,0.3828
,,00364.627120,D1_11,61,0.38136
,,00364.540960,D1_12,54,0.53712
,,00364.710880,D1_13,32,0.24736
,,00364.679040,D1_23,34,0.30112
,,00364.720000,D1_34,30,0.18472
,,00364.712560,D1_32,34,0.21752
,,00364.655520,D1_43,25,0.26264
,,00364.716480,D1_44,24,0.18632
,,00364.788000,A3_31,6,0.19792
,,00364.684480,A3_32,21,0.3228
,,00364.784960,A3_43,7,0.11648
,,00365.248320,C6_42,5,0.10832
,,00364.891680,D6_23,6,0.33736
,,00365.505840,A3_32,5,0.04296
,,00365.415360,C6_11,8,0.21672
,,00365.417360,C6_21,6,0.16272
,,00365.311920,C6_41,13,0.22192
,,00365.499440,C6_22,5,0.0728
,,00365.777440,A3_32,10,0.15224
,,00366.036720,D1_12,8,0.3636
,,00366.115840,D2_12,9,0.32744
,,00365.933920,D2_44,32,0.57336
,,00366.518880,D1_12,6,0.20432
,,00366.647520,C4_11,15,0.18312
,,00366.636800,C4_44,8,0.20016
,,00366.630320,C4_21,8,0.12736
,,00366.646480,C4_41,6,0.15768
,,00366.638160,C4_22,5,0.11992
,,00366.659360,D1_11,5,0.27368
,,00366.622960,C4_12,12,0.33864
,,00366.877520,D1_12,16,0.38816
,,00367.177680,D3_41,7,0.09472
,,00367.247360,D6_43,6,0.13184
,,00366.916080,B4_11,12,0.518
,,00367.349200,D5_33,5,0.26144
,,00367.493760,D5_14,7,0.33432
,,00367.773680,D6_43,8,0.2488
,,00368.133040,D6_43,5,0.04904
,,00368.210240,D2_44,10,0.21464
,,00368.332560,D6_43,5,0.17528
,,00368.719200,D1_12,13,0.29728
,,00368.954400,D4_42,9,0.27944
,,00368.905520,D4_32,23,0.39272
,,00368.990400,D4_21,7,0.20976
,,00369.026800,D4_41,7,0.2068
,,00369.956960,B4_11,17,0.52528
,,00371.673760,D2_11,6,0.16808
,,00371.655040,D2_12,8,0.15672
,,00371.554560,D2_24,7,0.202
,,00371.581600,D2_44,13,0.17376
,,00371.633040,D2_42,6,0.10976
,,00371.683280,C6_22,6,0.12968
,,00372.515200,C1_31,15,0.11032
,,00372.330480,C1_12,42,0.3032
,,00372.371760,C1_13,17,0.22848
,,00372.409280,C1_22,31,0.2396
,,00372.433920,C1_23,25,0.1944
,,00372.470480,C1_14,11,0.13944
,,00372.494720,C1_33,7,0.07176
,,00372.485520,C1_32,16,0.14608
,,00372.441920,C1_43,14,0.14248
,,00372.455840,C1_42,18,0.14096
,,00372.297680,B1_44,11,0.18784
,,00372.349920,C1_41,41,0.33032
,,00372.192000,C1_11,53,0.51104
,,00372.437920,C1_24,36,0.27736
,,00372.348240,C1_34,41,0.33664
,,00372.326880,C1_44,24,0.33504
,,00372.644160,A6_14,16,0.116
,,00372.579440,A6_12,66,0.29288
,,00372.631360,A6_13,44,0.23992
,,00372.609920,A6_11,50,0.26408
,,00372.632080,A6_33,37,0.2236
,,00372.603360,A6_23,20,0.18416
,,00372.608400,A6_34,21,0.23216
,,00372.539600,A6_24,65,0.32488
,,00372.598560,A6_42,50,0.24744
,,00372.599040,A6_43,46,0.25248
,,00372.651760,A6_32,33,0.19672
,,00372.598640,A6_44,49,0.2556
,,00372.651360,A6_21,21,0.13424
,,00372.625120,A6_41,52,0.22768
,,00372.646640,A6_31,24,0.18136
,,00372.619280,A6_22,29,0.19528
,,00373.162960,A3_41,8,0.20544
,,00373.188080,A3_11,18,0.17304
,,00373.151760,A3_44,5,0.1372
,,00373.154160,A3_43,11,0.15608
,,00373.143600,A3_42,7,0.224
,,00373.179120,A3_31,7,0.23768
,,00373.254720,A3_32,16,0.2484
,,00373.524480,A6_14,6,0.38136
,,00374.764160,A6_43,6,0.2536
,,00375.009360,A6_14,5,0.1428
,,00375.760560,A6_34,6,0.24216
,,00377.628240,D1_12,21,0.60624
,,00378.296560,C1_34,7,0.3036
,,00379.054400,D5_14,7,0.09416
,,00379.054000,D5_13,9,0.05968
,,00379.008400,D5_33,20,0.12488
,,00379.051040,D5_34,6,0.04912
,,00379.006640,D5_43,14,0.13816
,,00379.050320,D5_44,11,0.09808
,,00379.245040,A4_14,8,0.1312
,,00379.227600,A4_12,10,0.10336
,,00379.160080,A4_11,20,0.14536
,,00379.212640,A4_33,18,0.13584
,,00379.229040,A4_23,23,0.12
,,00379.230000,A4_34,8,0.10584
,,00379.117600,A4_42,28,0.25776
,,00379.096160,A4_43,35,0.29056
,,00379.180240,A4_32,8,0.10248
,,00379.158640,A4_44,19,0.17368
,,00379.164400,A4_21,14,0.17776
,,00379.126880,A4_41,24,0.20184
,,00379.108080,A4_31,14,0.24672
,,00378.998640,D5_24,24,0.16768
,,00379.017120,D5_42,26,0.14088
,,00379.048160,D5_22,15,0.10912
,,00379.213120,D3_41,15,0.30344
,,00379.318080,D3_11,6,0.162
,,00379.354240,D3_12,7,0.1368
,,00379.374720,D3_42,9,0.15416
,,00379.933920,D6_43,5,0.03232
,,00380.238720,D5_33,7,0.14176
,,00380.193840,D5_24,11,0.17936
,,00380.196640,D5_42,10,0.14968
,,00380.234400,D5_43,7,0.13
,,00380.252160,D5_44,7,0.09136
,,00382.281600,D5_33,7,0.1192
,,00382.278720,D5_24,11,0.14344
,,00382.284240,D5_42,14,0.14768
,,00382.288320,D5_43,5,0.14304
,,00382.311520,D5_44,9,0.19544
,,00383.574800,C3_41,14,0.23888
,,00383.581920,C3_21,39,0.23272
,,00383.642240,C3_11,5,0.166
,,00383.642080,C3_12,9,0.1168
,,00383.662240,C3_23,10,0.19288
,,00383.598000,C3_34,12,0.18992
,,00383.735440,C3_32,7,0.03664
,,00383.748080,C3_43,5,0.06792
,,00383.607840,C3_42,34,0.23848
,,00383.552240,C3_22,21,0.4404
,,00384.213200,D4_42,6,0.28152
,,00384.435840,D4_21,6,0.16112
,,00384.436160,D4_31,7,0.1812
,,00384.329680,C3_22,7,0.40728
,,00384.302080,D4_32,29,0.43432
,,00385.858240,B3_41,34,0.22496
,,00385.969040,B3_31,6,0.07344
,,00385.788320,B3_12,28,0.27944
,,00385.953840,B3_13,6,0.08728
,,00385.871680,B3_22,12,0.09952
,,00385.909200,B3_23,28,0.18328
,,00385.932800,B3_14,6,0.11712
,,00385.888880,B3_33,13,0.10264
,,00385.906720,B3_34,35,0.19928
,,00385.818880,B3_32,33,0.21552
,,00385.838080,B3_44,14,0.17696
,,00385.941520,B3_42,12,0.14256
,,00386.446080,C1_11,23,0.35256
,,00387.031120,A6_14,5,0.10016
,,00386.995920,A6_12,22,0.2324
,,00386.999760,A6_13,9,0.18752
,,00387.032400,A6_11,9,0.15944
,,00387.101520,A6_42,5,0.05384
,,00387.021680,A6_43,11,0.19792
,,00387.016960,A6_44,6,0.15104
,,00387.062240,A6_41,11,0.10928
,,00387.018160,A6_22,7,0.14008
,,00387.713520,D2_11,14,0.26624
,,00387.872000,D2_34,5,0.10824
,,00387.867200,D2_43,5,0.04
,,00387.872640,D2_44,5,0.14328
,,00387.833280,D2_42,8,0.1484
,,00387.956240,A3_44,7,0.17832
,,00387.978480,A3_42,6,0.11912
,,00387.986080,A3_41,14,0.2044
,,00388.076720,A3_31,5,0.11448
,,00387.980000,A3_11,21,0.24352
,,00388.036960,A3_23,6,0.18904
,,00388.001920,A3_32,15,0.2772
,,00387.984720,A3_43,11,0.2332
,,00388.200000,C6_11,5,0.10072
,,00388.160080,C6_33,7,0.18536
,,00388.139840,C6_42,8,0.12664
,,00388.194400,C6_21,6,0.12888
,,00387.975280,C6_41,23,0.32832
,,00388.036960,C6_22,14,0.22376
,,00388.494960,A3_32,6,0.046
,,00388.734160,A3_32,15,0.314
,,00389.310560,A6_12,23,0.28944
,,00389.436400,A6_13,9,0.09904
,,00389.372880,A6_11,9,0.1536
,,00389.365120,A6_33,8,0.13704
,,00389.299120,A6_23,8,0.18208
,,00389.229440,A6_24,25,0.28816
,,00389.307280,A6_42,12,0.1396
,,00389.276400,A6_43,15,0.23432
,,00389.319040,A6_44,12,0.2192
,,00389.351520,A6_41,16,0.20208
,,00389.439600,A6_31,5,0.11312
,,00389.421920,A6_22,7,0.08808
,,00389.383040,B3_32,34,0.4848
,,00389.953520,B2_41,32,0.132
,,00389.943760,B2_21,36,0.17224
,,00389.923120,B2_22,12,0.19648
,,00389.920800,B2_23,21,0.18008
,,00389.916240,B2_14,45,0.20288
,,00389.943040,B2_33,19,0.1556
,,00389.954160,B2_24,35,0.17824
,,00389.984320,B2_34,18,0.13424
,,00389.967840,B2_32,10,0.10744
,,00389.979120,B2_43,11,0.07768
,,00390.195760,C2_11,19,0.14224
,,00390.226720,C2_12,6,0.07296
,,00390.209680,C2_22,16,0.12712
,,00390.226320,C2_24,5,0.02288
,,00390.124800,C2_34,32,0.26248
,,00390.196000,C2_32,14,0.10384
,,00390.163360,C2_43,26,0.19544
,,00389.858400,B2_31,31,0.37104
,,00389.884400,B2_12,62,0.27376
,,00389.925040,B2_13,42,0.23784
,,00389.913920,B2_44,26,0.30304
,,00389.965920,B2_42,37,0.22088
,,00390.208720,A4_13,8,0.14536
,,00390.083520,A4_11,49,0.30592
,,00390.142320,A4_33,35,0.23424
,,00390.156640,A4_23,57,0.23552
,,00390.237280,A4_24,9,0.12176
,,00390.102480,A4_42,57,0.29368
,,00390.136400,A4_32,17,0.16728
,,00390.097520,A4_41,50,0.30024
,,00390.182880,A4_22,12,0.18688
,,00390.105040,B4_14,25,0.27448
,,00390.249120,B4_13,16,0.14272
,,00390.222240,B4_33,14,0.12664
,,00390.112400,B4_23,34,0.25064
,,00390.257520,B4_34,5,0.05176
,,00390.116080,B4_24,29,0.24984
,,00390.221920,B4_42,11,0.11224
,,00390.197120,B4_43,12,0.10456
,,00390.236880,B4_21,8,0.05224
,,00390.118400,B4_41,40,0.26568
,,00390.116400,B4_31,23,0.21656
,,00390.092880,C2_41,48,0.34264
,,00390.085120,C2_21,47,0.33976
,,00390.134960,C2_31,51,0.31384
,,00390.199040,C2_23,20,0.2908
,,00390.091200,C2_14,58,0.4888
,,00390.227360,C2_33,15,0.17336
,,00390.148000,C2_44,36,0.25632
,,00390.118560,C2_42,32,0.31128
,,00390.180080,A4_14,33,0.29488
,,00390.187680,A4_12,31,0.28
,,00390.186720,A4_34,29,0.25496
,,00390.080000,A4_43,73,0.35696
,,00390.079600,A4_44,42,0.38864
,,00390.125600,A4_21,43,0.27464
,,00390.085600,A4_31,26,0.33432
,,00390.062960,B4_11,35,0.37488
,,00390.152960,B4_32,38,0.25504
,,00390.124960,B4_44,40,0.29032
,,00390.187200,B4_22,45,0.25848
,,00391.636720,A4_44,5,0.14512
,,00391.822240,B3_32,27,0.4032
,,00392.680880,A4_23,5,0.1792
,,00392.160800,B4_11,13,0.59696
,,00393.266400,B1_41,41,0.2112
,,00393.218240,B1_21,36,0.34032
,,00393.313760,B1_31,19,0.1288
,,00393.347120,B1_12,9,0.09848
,,00393.296000,B1_13,22,0.1732
,,00393.178400,B1_22,36,0.32416
,,00393.296000,B1_23,30,0.19168
,,00393.309680,B1_14,9,0.11712
,,00393.331680,B1_33,6,0.07248
,,00393.284160,B1_24,31,0.21584
,,00393.232960,B1_34,27,0.30056
,,00393.286080,B1_32,35,0.3012
,,00393.285600,B1_43,44,0.21208
,,00393.106960,B1_44,56,0.38384
,,00393.331120,B1_42,19,0.13848
,,00393.522480,A4_11,7,0.06912
,,00393.312960,B4_11,5,0.23208
,,00393.776480,C3_41,19,0.21688
,,00393.774800,C3_21,39,0.22824
,,00393.817520,C3_12,9,0.12224
,,00393.786400,C3_22,15,0.26176
,,00393.810400,C3_23,9,0.14952
,,00393.881280,C3_14,6,0.09248
,,00393.796800,C3_34,12,0.2108
,,00393.773200,C3_42,38,0.22344
,,00394.245840,C2_14,7,0.22192
,,00395.255840,D3_41,17,0.18232
,,00395.280320,D3_11,6,0.16408
,,00395.358400,D3_12,5,0.08432
,,00395.359840,D3_42,5,0.05616
,,00395.749440,C3_41,6,0.11616
,,00395.652640,C3_34,5,0.17408
,,00395.561600,C3_21,14,0.43776
,,00395.622800,C3_22,10,0.32272
,,00395.779680,C3_42,10,0.14072
,,00396.352080,B3_41,5,0.09032
,,00396.221920,B3_12,7,0.20376
,,00396.349840,B3_22,5,0.11448
,,00396.253040,B3_32,19,0.17808
,,00395.913920,A4_21,22,0.91664
,,00396.720640,B1_44,12,0.26712
,,00396.911440,B2_12,18,0.19072
,,00396.941920,B2_13,5,0.1116
,,00396.720880,B2_14,10,0.33776
,,00397.624000,B1_44,11,0.20872
,,00398.766240,B1_44,6,0.25368
,,00399.221360,B1_44,9,0.21656
,,00399.935840,B1_44,6,0.12544
,,00400.373600,B1_44,6,0.08488
,,00400.908880,A6_13,13,0.23752
,,00400.997280,A6_11,9,0.13592
,,00400.990480,A6_33,5,0.14032
,,00400.966640,A6_22,8,0.1596
,,00401.147120,D4_14,19,0.12832
,,00401.118800,D4_12,29,0.22352
,,00401.131360,D4_13,17,0.19872
,,00401.109120,D4_33,53,0.25224
,,00401.163360,D4_23,29,0.19528
,,00401.175360,D4_34,29,0.16424
,,00401.138240,D4_24,44,0.22168
,,00401.167520,D4_43,15,0.16024
,,00401.097520,D4_44,39,0.2984
,,00400.993040,D4_21,60,0.40208
,,00401.113840,D4_41,43,0.232
,,00400.959920,A6_12,21,0.23856
,,00401.029120,A6_24,17,0.26184
,,00401.064400,A6_42,14,0.17656
,,00401.079200,A6_43,16,0.21224
,,00400.948160,A6_44,13,0.21584
,,00401.038480,A6_41,21,0.18448
,,00401.068080,D4_11,59,0.35608
,,00401.104160,D4_42,57,0.3004
,,00400.996560,D4_32,84,0.57776
,,00400.970160,D4_31,68,0.46208
,,00401.130960,D4_22,42,0.2944
,,00401.883040,B1_44,9,0.29232
,,00402.284080,B1_44,7,0.29056
,,00402.817840,D4_14,8,0.3268
,,00402.784240,D4_21,6,0.23464
,,00403.147760,D4_13,5,0.15648
,,00402.821920,D4_32,9,0.43936
,,00403.118880,B1_44,17,0.5216
,,00403.432080,C2_14,9,0.22776
,,00403.476400,D4_32,8,0.34464
,,00404.028560,D4_32,5,0.14944
,,00404.326400,D4_12,5,0.18456
,,00404.391680,D4_11,9,0.21888
,,00404.729760,C1_34,5,0.15728
,,00404.461440,B1_44,5,0.21528
,,00404.148000,D4_21,21,0.58288
,,00404.930080,B1_44,6,0.20296
,,00404.314800,D4_32,17,0.75488
,,00404.806480,D4_11,9,0.51096
,,00405.420720,B1_44,8,0.20304
,,00405.286080,B5_14,13,0.2072
,,00405.224320,B5_13,48,0.34536
,,00405.232400,B5_11,56,0.2748
,,00405.285360,B5_33,27,0.15952
,,00405.230000,B5_23,63,0.34272
,,00405.276880,B5_34,32,0.21448
,,00405.288880,B5_24,36,0.24312
,,00405.241280,B5_42,54,0.264
,,00405.237120,B5_43,47,0.31648
,,00405.282800,B5_32,31,0.21232
,,00405.218880,B5_44,38,0.26784
,,00405.264320,B5_21,16,0.16112
,,00405.224800,B5_41,46,0.29808
,,00405.251040,B5_31,67,0.2844
,,00405.259120,B5_22,38,0.27136
,,00405.395760,D4_32,5,0.27936
,,00405.247840,B5_12,59,0.43568
,,00405.911600,C2_41,6,0.17632
,,00405.811520,C2_14,10,0.27936
,,00405.499920,D4_21,13,0.5232
,,00407.274000,B1_44,8,0.222
,,00407.324960,D4_11,6,0.2616
,,00408.224640,B1_44,5,0.1328
,,00408.440400,C3_41,13,0.12528
,,00408.392320,C3_21,38,0.1908
,,00408.454640,C3_12,5,0.06528
,,00408.407120,C3_22,9,0.12328
,,00408.455120,C3_23,7,0.07312
,,00408.492800,C3_14,6,0.05816
,,00408.395440,C3_34,14,0.15624
,,00408.468000,C3_32,5,0.07656
,,00408.432160,C3_42,31,0.17544
,,00408.261360,A4_21,8,0.27944
,,00408.579760,D4_11,5,0.2356
,,00408.823280,B1_44,6,0.14232
,,00408.877440,D2_31,5,0.1076
,,00408.849680,D2_11,10,0.1328
,,00408.826720,D2_12,14,0.1828
,,00408.858400,D2_22,6,0.1292
,,00408.913200,D2_23,10,0.0808
,,00408.851280,D2_24,6,0.11496
,,00408.794800,D2_43,9,0.18672
,,00408.737040,D2_44,23,0.25208
,,00408.830080,D2_42,12,0.18552
,,00409.158240,B1_44,10,0.24448
,,00410.276240,C3_21,6,0.2676
,,00410.290560,C3_22,7,0.2128
,,00410.371200,C3_23,5,0.10408
,,00410.267120,C3_34,7,0.236
,,00410.318160,C3_42,9,0.25512
,,00410.698320,C2_41,10,0.1532
,,00410.504240,C2_14,13,0.28408
,,00410.753840,C2_43,5,0.12192
,,00410.480960,D4_42,5,0.21144
,,00410.480640,D4_32,20,0.33176
,,00410.594240,D4_41,5,0.16456
,,00410.757200,A6_14,14,0.10416
,,00410.658000,A6_34,19,0.21936
,,00410.658240,D6_14,13,0.1536
,,00410.656640,D6_12,38,0.1948
,,00410.644640,D6_33,33,0.22272
,,00410.638960,D6_24,28,0.19768
,,00410.645200,D6_41,22,0.12392
,,00410.572720,D6_31,11,0.14696
,,00410.807920,D2_44,12,0.22392
,,00410.631840,A6_12,62,0.37032
,,00410.740560,A6_13,45,0.20544
,,00410.645840,A6_11,51,0.31144
,,00410.740080,A6_33,33,0.20928
,,00410.653120,A6_23,17,0.30632
,,00410.584640,A6_24,66,0.37944
,,00410.650240,A6_42,46,0.29288
,,00410.618960,A6_43,48,0.43088
,,00410.751360,A6_32,32,0.20784
,,00410.619440,A6_44,43,0.29992
,,00410.713840,A6_21,26,0.19624
,,00410.677760,A6_41,60,0.26944
,,00410.746400,A6_31,20,0.17648
,,00410.743040,A6_22,37,0.21168
,,00410.628720,D6_23,46,0.48728
,,00410.593280,D6_43,73,0.3964
,,00410.562240,D6_21,68,0.54984
,,00410.594240,D6_22,52,0.34072
,,00411.036800,B1_22,5,0.1856
,,00410.979600,B1_44,14,0.5536
,,00411.762480,B1_44,5,0.10904
,,00411.963120,D3_11,25,0.16344
,,00411.955280,D3_13,14,0.1728
,,00412.055200,D3_14,6,0.03976
,,00412.054080,D3_33,5,0.04024
,,00412.012400,D3_24,9,0.10368
,,00411.910480,D3_41,52,0.27368
,,00411.955680,D3_21,28,0.25832
,,00411.994560,D3_31,25,0.1992
,,00411.949520,D3_12,42,0.21872
,,00412.040560,D3_23,13,0.14896
,,00412.052960,D3_34,23,0.172
,,00412.003440,D3_32,19,0.15136
,,00412.041280,D3_43,17,0.19576
,,00412.022880,D3_44,16,0.15528
,,00411.977200,D3_42,17,0.19624
,,00412.534320,D5_14,6,0.082
,,00412.491680,D5_13,12,0.156
,,00412.485280,D5_33,18,0.13216
,,00412.528160,D5_34,11,0.06472
,,00412.483920,D5_24,21,0.1516
,,00412.486400,D5_42,25,0.15752
,,00412.507440,D5_43,18,0.14224
,,00412.648640,B1_44,5,0.16952
,,00412.524560,D5_44,13,0.15
,,00412.539280,D5_22,15,0.1244
,,00412.033360,D6_12,27,0.77488
,,00412.864560,A6_43,9,0.30288
,,00413.570240,A6_43,7,0.1744
,,00413.804720,A6_14,7,0.25624
,,00416.235760,D1_41,65,0.30064
,,00416.278960,D1_21,61,0.30568
,,00416.305040,D1_31,38,0.216
,,00416.279520,D1_11,51,0.27584
,,00416.167840,D1_12,55,0.43536
,,00416.371680,D1_13,32,0.1708
,,00416.371600,D1_22,23,0.13216
,,00416.341200,D1_23,41,0.21584
,,00416.156640,D1_14,22,0.36528
,,00416.365840,D1_33,15,0.15176
,,00416.379840,D1_24,15,0.17176
,,00416.362240,D1_34,30,0.26424
,,00416.364000,D1_32,28,0.1868
,,00416.359600,D1_43,30,0.19672
,,00416.366800,D1_44,30,0.18456
,,00415.816400,D6_43,19,0.7236
,,00416.686480,D6_43,7,0.2712
,,00416.901440,A5_14,50,0.44912
,,00417.011760,A5_12,38,0.25064
,,00417.001120,A5_13,62,0.3576
,,00417.085200,A5_11,41,0.22496
,,00417.103680,A5_33,14,0.1536
,,00417.100240,A5_23,36,0.22832
,,00416.914480,A5_34,12,0.27664
,,00417.094640,A5_24,23,0.13272
,,00417.098560,A5_42,38,0.1956
,,00416.899200,A5_43,67,0.39824
,,00417.112400,A5_32,35,0.14712
,,00416.979520,A5_44,18,0.28472
,,00417.107680,A5_21,10,0.10448
,,00417.037120,A5_41,50,0.26896
,,00417.095040,A5_31,17,0.12072
,,00417.113440,A5_22,22,0.16816
,,00417.492400,D2_12,18,0.13032
,,00417.524880,D2_33,9,0.09024
,,00417.439040,D2_24,21,0.21032
,,00417.475280,D2_34,18,0.17408
,,00417.310000,A4_34,8,0.15088
,,00417.502640,D2_41,15,0.16576
,,00417.496240,D2_31,28,0.19408
,,00417.504880,D2_11,31,0.15112
,,00417.521520,D2_22,25,0.16312
,,00417.474720,D2_23,41,0.20064
,,00417.526000,D2_14,15,0.136
,,00417.486400,D2_43,55,0.37632
,,00417.460720,D2_44,48,0.20384
,,00417.463520,D2_42,48,0.22504
,,00418.160080,D1_12,9,0.38656
